filename,text,cluster,pca1,pca2
X51005230616.jpg,"DFz , 190 Gerbang Alaf Restaurants Sdn Bhd (65351-M) formerIy known as GoIden Arches Restaurants Sdn Bhd Licensee of McDonald' s Leve] 6, Bangunan TH, Damansara Uptown3 No.3 , Jalan SS21/39,47400 Petaling Jaya Selangor (GST   ID No: 000504664064 , McDonaId ' $ Petronas Taman Melati DT Tel No. 03-4147-3107 Tax INVOICE MFY Side 1 InV; 141900016842 ORD #90 ~REG #19-  18/01/2018 17;09;21 QTY ITEM TOTAL 2 M SpicyDeluxe 25.40 2 M Coke 2 M Fries M Gri IChicBgr 12.50 M Coke M Fries Small Cone 1.00 Takelut Total (inc| GST ) 38, 90 Tota/ Rounded 38.90 Cash Tendered 50.00 Change 11,.10 TOTAL INCLUDES 6x GST 2,20 Iove to hear your feedback! Visit Www mcdfeedback . com . my OR Down load My McD Feedback from Google Play/App Store to share your experience Thank  You ad Please Come Again. 'stomer Service Hot] ine 03-2726-5600",9,-0.014929469100700438,-0.012680180294820938
X51005268408.jpg,"99 SPEEd MaRT S/8 {589537-K) LOT P,t, 2811 , JaLAX Angsa, Tamaw bcrkeLEY G1.5C KlanC, SELANCOR 1413-SETIA ALAM ? 6S7 ID, Hd 0001a1767712 Invdic Np 10222/102/T0341 03;29Pm 562536 20-11-17 Corc- AaL 2973 PEOJASURE COMPLETE % PK;i7.90 $ R7j:.90 $ 069 #ELD Z6G 2709 ZING HEING DA7 { MNEAT RnG,J0 2893 DISNEY 05112 NIDE ""ecK Rns.39 JwhSeNS F15.5 21H} DG Rns,59 4385 Ca _a Jcat"" Sajes Inclusive GST} B 17.78 Tots] AdjustRert RM 02 Rourding Rounding RK 189.20 CaSH Rm 206.60 canGe RK 30,20 CoC-7 Pacunt{RM) Tax{RH) GST Suawary 160.17 9,8 41 Thank You. Please coxe invoice far {etuftis Keep the a03in apolicable",8,-0.0020438326319636327,0.05403314484982485
X51005433518.jpg,"Aozoz/ UNIHAKKA INTERNATIONAL SDN BHD 07 Mar 2018 18.22 (867388-U) 12, Jalan Tampoi 7/4,Kawvasan Peindustian Tampoi,81200 Jahor Bahr,Johor TAX INVOiCE Invoice # OR18030702170417 Item Dty Tetal SR 106100000035- Meat S7.i0 57,10 SR /0010000D015- Vegetable 51.10 S1.10 Total Amourt; SB.20 GST @6% S0.46 Nett otal: 52.20 Payment Mode Amount CASH 58,20 Change S0.00 GST Summary Amouns) Tax{s) SR- GST@5x 046 GST REG #000856195584 BAR WANG RICE RMAS JAYA (Price Inclusive Of GST) Thank Yau Come Againl Like and Follov Us on Facebookl Facebook com BarWVangRlce Vege @PEI",3,-0.3520137621059777,-0.30376214204477947
X51005433543.jpg,"Aozasz UNIHAKKA INTERNATIONAL SDN BHD 13 Mar 2018 18.35 (867388-UJ) 12, JJalan Tampoi 7,4,Kawasan Perindustrian ampoi  200 Johor ahr,Johor TAXINVOICE Invoice # OR18031302170441 Item aw Total SR 100 100000035 Meat 3 Vege 57.10 S7.10 SR I001DDOOOO15- Vegetable 51.10 #t.10 Tota Amount: 38,20 GST @696; 9D.46 Neit Totab 58.20 Paymert Mode Amourt CASH 58.20 Change So.0o GST Summary Amunt(t} Taxs) 53733740683 GST REG #000856195684 BAR WANG RICE@PERMAS JAYA (Piice Inclusive Ol GST) Thark You Come Againl Llke and Follai Us an Facebcokl Facebook com BaiWancRice",3,-0.2747067398566474,-0.2654165227000462
X51005442334.jpg,"A03128 UNIHAKKA INTERNATIONAL SDN BHD 26 Mar 2018 18,;14 867388-U) 12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi, 81200 Johor Bahru,Johor TAX INVOICE Invoice OR18032602170324 Item Qly Total SR /0d100000d35- 3Vege 57.10 S7.10 SR 100100000015- Vegetable 51.10 51.10 Total Amount: 58.20 GST @8%0: 50.46 Nelt Total: 58,20 Payment Mode Amount CASH S8.20 Change S0,00 GSTSummany Ampuntfy) Taxf} S3-GST @6r6 0.43 GST REG #000666195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive 0l GST) Thank You Come Againl Like and Follow Us on Facebookl Facebook com BarWangRlce Meat -",3,-0.36198435194472767,-0.3243719121599053
X51005442375.jpg,"Anz W2 UNIHAKKA INTERNATIONAL SDN EHD 25 Ma; 2018 18;28 (887388-U) 12, Jalan Tampoj 7/4,Kawasan Perinduskian Tampoi,81.200 Johor Bahru,Johor TAX INVOICE Invoice # OR18032502170439 Item Qly Total SR I001ooodo060. Vege 5.50 96,50 SR 1001 00000057-Frled Noodle (L} S3,00 53.00 Total Amount: 38,50 GST @6%8: $0,48 Nett Tolal: 98.50 Payment Mode Amount CASH 58.50 Change So.OD us1 Summary AnOnlks} Tax?) GST@6* 8.02 @ST REG #000658195584 BAR WANG RICE@PERMAS JAYA (Piice Inclusive 0l GST) Thank Yqu Come Againi Like and Follow Us On: Facebooki Facebook com Ba WangRice",3,-0.2880129205357772,-0.21881072771831417
X51005442382.jpg,"Ao3pi9 UNIHAKKA INTERNATIONAL SDN BHD 20 Mar 2018 17.55 (867388-U) 12 Jalan Tanpoi 7/4,Kawasan Perindustrian Tampol,81200 Johor ahru,Johor TAX INVOICE Invoice # OR18032002170471 Item Qly Tota SR 100700000031- 6 Vege S6.60 58.60 Total Amount: 56.60 GST @8%. 50.37 Nett Total: S6.80 Payment Mode Amount CASH 56.60 Change S0.00 0ST Summary Aount(s} Taxfs} SR=GSt@3% GSt REG #000656195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive Ol @ST) Thank You Come Againi Llke and olicw Us on Facebookl Facebookcom BarW angRlce",3,-0.3118824329613476,-0.2862481694690838
X51005444044.jpg,"99 SPEED MART S/B (519537-X) Lot PaT. JALAN ANGSA, Taman BERKELEY 41150 KLANG, SEL ANGOR 1572-Tmn BkT Pandan GST ID. NO 000181747712 InvoIcE No 18332/103/T0157 02:27PH 570285 10-03-18 104 SunquiCk OREN 3z0mL RMS. 35 Total Sales (Inclusive GST} RM 5,35 CASH RM 6. Q0 CHANGE Rh 65 GST Summary Amount(Rr) Tax(RM) 8 61 5.05 30 Thank You. Please Come again the invoice for anplicable Feturns 2811, Keep",8,-0.020217910148592286,0.055787861852959836
X51005605287.jpg,"AEON Co_ (m) BHD ( 126926-H) 3RD FLR , AEON TAMAN MALURI SC JLN JEJAKA , TAMAN MALURI CHERAS _ 55100 KUALA LUMPUR GST ID 002017394688 SHOPPI NG  HOURS MON-SUN: 100O   HIRS 2200 HRS VALIZD CUSTOMER : 1 130307913 Ix  0000005469765 6 , 65SR TOPVALU FLOOR C Ix 000001101575 5 , 60SR CIF REGULAR 50 Sub-tota] 12.25 Total Sales Irc]   GST 12.25 Toial After Adj Irc] GST 12.25 CASH 50 . €o Item Cimnit 2 Charige   Amt 37,75 Invoice No: 2018031430090060035 GST Stary Amount Tax SR 4 6% 11,55 0.70 Total 11.55 0.70 14/03/2018 12:43 3009  0o6 0060035 0284846   AMTRUL DE",2,-0.0344006584533859,0.0184852264319455
X51005675103.jpg,"3 18 0/*01| SYARIKAT PERNIAGAAN GIN KEE (81109-A) NO 290,JALAN AIR PANAS SETAPAK, 53200, KUALA LUMPUR TEL 03-40210276 GST ID 000750673920 SIMPLIFIED TAX INVOICE CASH Doc No CS00012544 Date: 04/01/2018 Cashier USER Time: 15.46.00 Salesperson Ref, Itern SIPrice Amount Tax 1840 1 40.28 40.28 SR K10' 1X 8 1664 2 26.50 53.00 SR ILT BIG TREE HIGH GLOSS PAINT 1909 6.89 6.89 SR 7"" ROLLER REFILL Totai Qty T00 17 Total Sales (Excluding GST) 94 50 Discount 0 00 Total GST 5.67 Rounding 0.00 Total Sales (Inclusive of GST) 100.17 CASH 100.17 Change 0.00 GST SUMMARY Iax Code % Amt (RM Iax (RM SR 94.50 5 67 Total 94.50 5.67 5.6F GOODs SOLD ARE NOT RETURNABLE , THANK YOU. Oty",6,-0.09412792042154951,0.10138581485692805
