filename,text,company
X51005268408.jpg,"99 SPEEd MaRT S/8 {589537-K) LOT P,t, 2811 , JaLAX Angsa, Tamaw bcrkeLEY G1.5C KlanC, SELANCOR 1413-SETIA ALAM ? 6S7 ID, Hd 0001a1767712 Invdic Np 10222/102/T0341 03;29Pm 562536 20-11-17 Corc- AaL 2973 PEOJASURE COMPLETE % PK;i7.90 $ R7j:.90 $ 069 #ELD Z6G 2709 ZING HEING DA7 { MNEAT RnG,J0 2893 DISNEY 05112 NIDE ""ecK Rns.39 JwhSeNS F15.5 21H} DG Rns,59 4385 Ca _a Jcat"" Sajes Inclusive GST} B 17.78 Tots] AdjustRert RM 02 Rourding Rounding RK 189.20 CaSH Rm 206.60 canGe RK 30,20 CoC-7 Pacunt{RM) Tax{RH) GST Suawary 160.17 9,8 41 Thank You. Please coxe invoice far {etuftis Keep the a03in apolicable",99 SPEED MART S/B
X51005361950.jpg,"2 99 SPEED HART S7B Lot PI. 2811, TANAN  BERKELEY 41150 SFLANGOR 1076-IJOK GST ID . No 000181747712 INVOICE No 0 18287/102/T0049 10: 43AN 568582 24-01-18 1973 GARBAGE BAG ( BLUE} 74C RMi. 25 5 1974 GARBACE BAG {GREEN) 74 RKi. 25 Total Sales (Inclusive CST) RH 2.50 CASK RN 5.QO CHANGE RH 2.50 GST Amourt (RH) Tax{RM} 67 2.36 14 Thank You; Please come again the invoice for applicable returns @AIT {8nxspoho KLANG , Summary Keep",99 SPEED MART S/B
X51005433492.jpg,"A03o/8 UNIHAKKA INTERNATIONAL SDN BHD 05 Mar 201 18.24 867388-U) 12, Jalan Tampoi 7i4,Kawasan Perrdustrian Tampoi,81200 Johor Bahru,Johor TAX INVOICE Invoice # OR18030502160349 Item Ql Total SR 10010000oo60- Vege S5.50 65,60 I00[00000006- Pork 52.70 $2.70 Total Amount; S8.20 GST @69; S0.46 Nett Total 58.20 Payment Mode Amount CASH 98,20 Change S0.00 CST Summary Anounhs) Taxs) SR-GST@X 0.46 GST REG #000856195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive 01 GST) Thank You Come Again! Like and Follow Us on acebpokl Facebookcom BarWangRice",UNIHAKKA INTERNATIONAL SDN BHD
X51005433514.jpg,"hi 3032 UNIHAKKA INTERNATIONAL SDN BHD 03 Mar 2018 18.22 (867388-U) 12, Jaiah Tampoi 7/4,Kawasan erindustrian Tampoi 81200 Johor Bahru,Johor TAX INVOICE Invoice # OR18030302170430 Qty Total SR !00100000035 Meat 97.f0 57.10 SR /00(OoddOOt5- Vegetable S1.f0 S1.10 Amount: SB.20 GST @8%6: SQ,48 Neti otai: S8,20 Payment Mode Amount CASH 53.20 Change SO,00 GSTSummary Arnvisinics} Tixs] GST @t% 1 4 GST REG #000356195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive Of GST) Thank You Come Againl Like and Follow Us on Facebookl Facebodkcom BarWangRice Fem Vege Tolal",UNIHAKKA INTERNATIONAL SDN BHD
X51005433518.jpg,"Aozoz/ UNIHAKKA INTERNATIONAL SDN BHD 07 Mar 2018 18.22 (867388-U) 12, Jalan Tampoi 7/4,Kawvasan Peindustian Tampoi,81200 Jahor Bahr,Johor TAX INVOiCE Invoice # OR18030702170417 Item Dty Tetal SR 106100000035- Meat S7.i0 57,10 SR /0010000D015- Vegetable 51.10 S1.10 Total Amourt; SB.20 GST @6% S0.46 Nett otal: 52.20 Payment Mode Amount CASH 58,20 Change S0.00 GST Summary Amouns) Tax{s) SR- GST@5x 046 GST REG #000856195584 BAR WANG RICE RMAS JAYA (Price Inclusive Of GST) Thank Yau Come Againl Like and Follov Us on Facebookl Facebook com BarWVangRlce Vege @PEI",UNIHAKKA INTERNATIONAL SDN BHD
X51005433522.jpg,"UNIHAKKA INTERNATIONAL SDN BHD 10 Mar 2018 18.24 (867388-U) 12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru,Johor TAX INVOICE Invoice OR18031002160274 tem at Totab SR 1Q0100000035 Meat St.10 S7.10 SR I0010OO00015- Vegetable $1.10 51.10 Amount: $8,20 GST @8%: $0.48 Nett "" otal; #8,20 Payrent Mode Amount CASH 58,20 Change 50,00 [ST Summar Amountfs) Taxt} SR = GSTeX 0.43 @ST REG #00u656195584 BAR WANGRICE@PERMAS JAYA (Price Inclusive Ol GST) Thank You Come Againl Like and Follaw Us on Facebogkl Facebpok; com BarWVangRice Ao3o3o Vege Total",UNIHAKKA INTERNATIONAL SDN BHD
X51005433538.jpg,"A0zoy7 UNIHAKKA INTERNATIONAL SDN BHD 12 Mar 2018 18.19 (867388-U) 12, Jalan Tampol 7/4,Kawasan erindustrlan Tampoi,81200 Johor Bahru,Johor TAX INVOICE Involce # OR18031202170432 Qt SR 100100000035- Mezt 3 Vege 87.10 87,10 SR 10C100000015- Vegetable S1.10 S1.10 Total Amount: $8.20 GST @63: 50.46 Nett Total: 58.20 Payment Mode Amount CASH 98.20 Change S0.00 astsummaiy Anountt%} Taxf;} SR=CSI 026 GST REG #000856195584 BAR WANGRICE@PERMAS JAYA (Piice Incluslve Of @ST) Thank You Come Againl Like and Follow Us on Facebookl Facebook com BarWangRice Tola Jtein 384",UNIHAKKA INTERNATIONAL SDN BHD
X51005433541.jpg,"Hn3osv UNIHAKKA INTERNATIONAL SDN BHD 14 Mar 2018 1840 867388-V) 12 Jelan Tampoi 7/4,Kawasan erinduslrian Tampoi,81200 Johor Bahru; Johor TAX INVOICE Invoice OR18031402160311 Item Qty Totz SR 100100000060 Vege 55,50 55.50 SR I00100O000O8- Pork 52.70 02.70 Tota) Amount: 98.20 GST @6%0: 50.46 Nett Total: $8.20 Payment Mode Amourt CASH SB,20 Change S0.00 GSTSunimaiy AMmouns Taxo} SR-3S 02165 7.74 GST REG #0D0656195584 BAR WANGRICE@PERMAS JAYA (Price Inclusive Of GST) Thank You Came Again! Llke and Folloiy Us on Facebookl Facebook com BarVangRice",UNIHAKKA INTERNATIONAL SDN BHD
X51005433543.jpg,"Aozasz UNIHAKKA INTERNATIONAL SDN BHD 13 Mar 2018 18.35 (867388-UJ) 12, JJalan Tampoi 7,4,Kawasan Perindustrian ampoi  200 Johor ahr,Johor TAXINVOICE Invoice # OR18031302170441 Item aw Total SR 100 100000035 Meat 3 Vege 57.10 S7.10 SR I001DDOOOO15- Vegetable 51.10 #t.10 Tota Amount: 38,20 GST @696; 9D.46 Neit Totab 58.20 Paymert Mode Amourt CASH 58.20 Change So.0o GST Summary Amunt(t} Taxs) 53733740683 GST REG #000856195684 BAR WANG RICE@PERMAS JAYA (Piice Inclusive Ol GST) Thark You Come Againl Llke and Follai Us an Facebcokl Facebook com BaiWancRice",UNIHAKKA INTERNATIONAL SDN BHD
X51005442327.jpg,"Aozo?& UNIHAKKA INTERNATIONAL SDN BHD 18 Mar 2018 18,25 (867388-L} 12, Jalan Tampoj 7/4,Kawasah arindustman Tampoi,81200 Johor Bahru, Johor TAX INVOICE Invoice OR18031802170364 Itern Qty Total SR 70010000003t"" 3 54.40 54,40 SR I0gi00000064-Add Vegetable 50.52 S0.50 SR IC01@O0G114-Add Chicken 53.70 53.70 Total Ampuni: 58,60 GST @836: #0.48 Nett Total: S8.80 Payment Mode Anount CASH 98,60 Change S0,00 GST Summary Aliauntfs) Taxft} 33-G3700X V4 GST REG #000556195584 BAR WANG RICE@PERMAS JAYA {Price Inclusive 0l @ST) Thank You Come Againl Lika and Follcw Us on Facebeokl Facebook cnm RarWangRice Vage",UNIHAKKA INTERNATIONAL SDN BHD
